,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,피곤에 찌들어 있는 얼굴,,,,,,,,,,,,,,,,,"소심하고 겁이 많다.
뭔가 일이 있을때 절대 나서지 않음",,,,,,,,,,,,,,,,,"박사 졸업 디펜스를 3년째 실패하여 아직 대학원에 남아있음
척척 석사라는 말을 들으면 화를 참지못함
졸업논문과 연구 기록을 선배에게 빼앗긴 적이 있어서 어딜 가든 논문과 연구 파일을 들고 다님",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,이상한 경험,,,,,,,,,,,,"신화서, 주문, 유물",,,,,,,,,,,,공포증과 집착증,,,,,,,,,,,,기타 사항,,,,,,,,,,,,,아바타,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,캐릭터 스탯 (1옵션),,,,캐릭터 스탯 (3옵션),,,,캐릭터 스탯 (자유배치),,,,스탯 추가굴림,,,,비전투 광기 판정,,,,전투 광기 판정,,,,스킬 향상 판정,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,&{template:default} {{name=캐릭터 스탯}} {{근력 (STR)=[[3d6*5]]}} {{건강 (CON)=[[3d6*5]]}} {{크기 (SIZ)=[[(2d6+6)*5]]}} {{교육 (EDU)=[[(2d6+6)*5]]}} {{외모 (APP)=[[3d6*5]]}} {{민첩 (DEX)=[[3d6*5]]}} {{지능 (INT)=[[(2d6+6)*5]]}} {{정신력 (POW)=[[3d6*5]]}}{{행운 (LUK)=[[3d6*5]]}},,,,&{template:default} {{name=캐릭터 스탯 (3옵션)}} {{근력 (STR)=[[3d6*5]] [[3d6*5]] [[3d6*5]]}} {{건강 (CON)=[[3d6*5]] [[3d6*5]] [[3d6*5]]}} {{크기 (SIZ)=[[(2d6+6)*5]] [[(2d6+6)*5]] [[(2d6+6)*5]]}} {{교육 (EDU)=[[(2d6+6)*5]] [[(2d6+6)*5]] [[(2d6+6)*5]]}} {{외모 (APP)=[[3d6*5]] [[3d6*5]] [[3d6*5]]}} {{민첩 (DEX)=[[3d6*5]] [[3d6*5]] [[3d6*5]]}} {{지능 (INT)=[[(2d6+6)*5]] [[(2d6+6)*5]] [[(2d6+6)*5]]}} {{정신력 (POW)=[[3d6*5]] [[3d6*5]] [[3d6*5]]}}{{행운 (LUK)=[[3d6*5]] [[3d6*5]] [[3d6*5]]}},,,,&{template:default} {{name=캐릭터 스탯 자유 배치}} {{스탯1=[[3d6*5]]}} {{스탯2=[[3d6*5]]}} {{스탯3=[[3d6*5]]}} {{스탯4=[[3d6*5]]}} {{스탯5=[[3d6*5]]}} {{스탯6=[[3d6*5]]}} {{스탯7=[[3d6*5]]}} {{스탯8=[[3d6*5]]}} {{스탯9=[[3d6*5]]}}	,,,,&{template:default} {{name=스탯 추가굴림}} {{옵션 2=[[3d6*5]]}} {{옵션 3=[[(1d9)*10]]}},,,,&{template:default} {{name=비전투 광기 판정}} {{광기의 종류=[[1d10]]}} {{지속시간=[[(1d6)*5]]분}},,,,&{template:default} {{name=전투 광기 판정}} {{광기의 종류=[[1d10]]}} {{지속시간=[[1d10]]턴}},,,,&{template:default} {{name=스킬 향상 판정}} {{향상여부=[[1d100]]: 현재 점수보다 높으면 향상}} {{향상량=[[1d10]] ↑}},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B @meromerone,,,
